2.4.3,Focus order,A,,,design,code,2.4.3,2.0,https://www.w3.org/TR/WCAG21/#focus-order
2.4.4,Link purpose (in context),A,,content,design,code,2.4.4,2.0,https://www.w3.org/TR/WCAG21/#link-purpose-in-context
2.4.5,Multiple ways,AA,,,design,,2.4.5,2.0,https://www.w3.org/TR/WCAG21/#multiple-ways
2.4.6,Headings and labels,AA,,content,design,,2.4.6,2.0,https://www.w3.org/TR/WCAG21/#headings-and-labels
2.4.7,Focus visible,AA,,,design,code,2.4.7,2.0,https://www.w3.org/TR/WCAG21/#focus-visible
2.4.8,,,,,,,2.4.8,2.1,https://www.w3.org/TR/WCAG21/#location
2.4.9,,,,,,,2.4.9,2.1,https://www.w3.org/TR/WCAG21/#link-purpose-link-only
2.4.10,,,,,,,2.4.10,2.1,https://www.w3.org/TR/WCAG21/#section-headings
2.5.1,Pointer Gestures,A,,,design,code,2.5.1,2.0,https://www.w3.org/TR/WCAG21/#pointer-gestures
2.5.2,Pointer Cancellation,A,,,design,code,2.5.2,2.0,https://www.w3.org/TR/WCAG21/#pointer-cancellation
2.5.3,Label in Name,A,,content,design,code,2.5.3,2.0,https://www.w3.org/TR/WCAG21/#label-in-name
2.5.4,Motion Actuation,A,,,design,code,2.5.4,2.0,https://www.w3.org/TR/WCAG21/#motion-actuation
2.5.5, Target Size, AAA,,,,,2.5.5,2.1,https://www.w3.org/TR/WCAG21/#target-size
2.5.6, Concurrent Input Mechanisms, AAA,,,,,2.5.6,2.1,https://www.w3.org/TR/WCAG21/#concurrent-input-mechanisms
3.1.1,Language of page,A,,,,code,3.1.1,2.0,https://www.w3.org/TR/WCAG21/#language-of-page
3.1.2,Language of parts,AA,,content,,code,3.1.2,2.0,https://www.w3.org/TR/WCAG21/#language-of-parts
3.1.3,,,https://alphagov.github.io/wcag-primer/content.html#2-4-2-page-title-a,,,,3.1.3,2.1,https://www.w3.org/TR/WCAG21/#unusual-words
3.1.4,,,https://alphagov.github.io/wcag-primer/content.html#2-4-4-link-purpose-in-context-a,,,,3.1.4,2.1,https://www.w3.org/TR/WCAG21/#abbreviations
3.1.5,,,https://alphagov.github.io/wcag-primer/content.html#2-4-6-headings-and-labels-aa,,,,3.1.5,2.1,https://www.w3.org/TR/WCAG21/#reading-level
3.1.6,,,https://alphagov.github.io/wcag-primer/content.html#2-5-3-label-in-name-a,,,,3.1.6,2.1,https://www.w3.org/TR/WCAG21/#pronunciation
