wcag,count
1.3.1,778
1.4.3,1899
4.1.1,560
1.1.1,131
2.4.4,450
4.1.2,653
3.1.1,35
2.4.1,16
2.2.1,4
2.2.4,4
3.2.5,4
2.4.7,1
2.4.2,5
1.4.4,1
